Course Code,Course Title,HEI,CATEGORY (ISCED Description),R1 Points
DC190,Electronic and Computer Engineering (with choice of four majors),Dublin City University,Engineering and engineering trades,488
DC193,Mechatronic Engineering,Dublin City University,Engineering and engineering trades,490
DC194,Sustainable Systems and Energy,Dublin City University,Environment,476
DC195,Mechanical and Manufacturing Engineering,Dublin City University,Engineering and engineering trades,500
DC197,Biomedical Engineering,Dublin City University,Health,510
DC200,Common Entry into Engineering (Undenominated Entry),Dublin City University,Engineering and engineering trades,511
DC202,Sport Science and Health,Dublin City University,Health,511
DC203,Science Education,Dublin City University,Education,462
DC204,Athletic Therapy and Training,Dublin City University,Health,558
DC205,Physical Education with Biology,Dublin City University,Education,565
DC206,Physical Education with Mathematics,Dublin City University,Education,521
DC207,Psychology and Mathematics,Dublin City University,Social and behavioural sciences,521
DC208,Psychology,Dublin City University,Social and behavioural sciences,565
DC209,Health and Society,Dublin City University,Health,477
DC210,Psychology and Disruptive Technologies,Dublin City University,Social and behavioural sciences,506
DC215,General Nursing,Dublin City University,Health,456
DC216,Mental Health Nursing,Dublin City University,Health,420
DC217,Intellectual Disability Nursing,Dublin City University,Health,382
DC218,Children`s and General Nursing (Integrated),Dublin City University,Health,521
DC230,"Economics, Politics and Law",Dublin City University,Social and behavioural sciences,431
DC231,International Relations,Dublin City University,Social and behavioural sciences,398
DC232,Law and Society (BCL),Dublin City University,Law,469
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),Dublin City University,Education,302
DC238,Social Sciences and Cultural Innovation,Dublin City University,Humanities (except languages),387
DC240,"Marketing, Innovation and Technology",Dublin City University,Business and administration,499
DC241,Digital Business and Innovation,Dublin City University,Business and administration,509
DC291,Arts (Joint Honours) - Media Studies,Dublin City University,Arts,350
DC292,Arts (Joint Honours) - Law,Dublin City University,Arts,400
DC293,Arts (Joint Honours) - International Languages,Dublin City University,Arts,379
DC294,Climate and Environmental Sustainability,Dublin City University,Environment,475
DC295,Arts (Joint Honours) - Politics,Dublin City University,Arts,349
DL822,Arts Management,"Dun Laoghaire Institute of Art, Design and Technology",Business and administration,254
DL823,Business Management,"Dun Laoghaire Institute of Art, Design and Technology",Business and administration,220
DL825,Applied Psychology,"Dun Laoghaire Institute of Art, Design and Technology",Social and behavioural sciences,418
DL826,Graphic Design,"Dun Laoghaire Institute of Art, Design and Technology",Arts,591
DL827,Art,"Dun Laoghaire Institute of Art, Design and Technology",Arts,574
DL832,Animation,"Dun Laoghaire Institute of Art, Design and Technology",Arts,989
DL833,Photography and Visual Media,"Dun Laoghaire Institute of Art, Design and Technology",Arts,671
DL836,Creative Computing,"Dun Laoghaire Institute of Art, Design and Technology",Information and Communication Technologies (ICTs),235
DL837,New Media Studies,"Dun Laoghaire Institute of Art, Design and Technology",Humanities (except languages),298
DL838,Creative Music Production,"Dun Laoghaire Institute of Art, Design and Technology",Arts,713
DL839,Interaction and User Experience Design,"Dun Laoghaire Institute of Art, Design and Technology",Information and Communication Technologies (ICTs),757
DL840,Digital Marketing,"Dun Laoghaire Institute of Art, Design and Technology",Business and administration,210
DL841,English and Equality Studies,"Dun Laoghaire Institute of Art, Design and Technology",Arts,277
DL843,Film,"Dun Laoghaire Institute of Art, Design and Technology",Arts,987
DL844,Television,"Dun Laoghaire Institute of Art, Design and Technology",Arts,566
DL845,Design for Film (degree options),"Dun Laoghaire Institute of Art, Design and Technology",Arts,628
GC200,Business,Griffith College,Business and administration,269
GC201,Accounting and Finance,Griffith College,Business and administration,260
GC230,Computing Science,Griffith College,Information and Communication Technologies (ICTs),300
GC300,Business,Griffith College,Business and administration,264
GC302,Business - HRM,Griffith College,Business and administration,377
GC307,Business (Marketing),Griffith College,Business and administration,289
GC400,Business,Griffith College,Business and administration,250
GC401,Accounting and Finance,Griffith College,Business and administration,242
GC403,Law,Griffith College,Law,245
GC407,Business (Marketing),Griffith College,Business and administration,264
GC430,Computing Science,Griffith College,Information and Communication Technologies (ICTs),251
GC450,Communications and Media Production,Griffith College,Journalism and information,225
GC462,Design Communication (portfolio),Griffith College,Arts,300
GC489,Interior Architecture (portfolio),Griffith College,Arts,288
GC494,Fashion Design (portfolio),Griffith College,Arts,351
BY001,Business,IBAT College Dublin,Business and administration,210
AD101,"First Year Art and Design (Common Entry,portfolio)",National College of Art and Design,Arts,554
AD102,Graphic Design and Moving Image Design (portfolio),National College of Art and Design,Arts,538
AD103,Textile and Surface Design and Jewellery and Objects (portfolio),National College of Art and Design,Arts,505
AD202,"Education and Design or Fine Art (Second Level Teaching,portfolio))",National College of Art and Design,Education,591
AD204,Fine Art (portfolio),National College of Art and Design,Arts,514
AD211,Fashion Design (portfolio),National College of Art and Design,Arts,760
AD212,Product Design (portfolio),National College of Art and Design,Arts,413
AD215,Visual Culture,National College of Art and Design,Arts,337
AD217,Illustration (portfolio),National College of Art and Design,Arts,738
AD222,Interaction Design (portfolio),National College of Art and Design,Information and Communication Technologies (ICTs),444
NC003,Computing (Degree Award options),National College of Ireland (NCI),Information and Communication Technologies (ICTs),271
NC005,Human Resource Management,National College of Ireland (NCI),Business and administration,301
NC009,Business,National College of Ireland (NCI),Business and administration,300
NC010,Psychology,National College of Ireland (NCI),Social and behavioural sciences,420
NC020,Marketing Practice,National College of Ireland (NCI),Business and administration,270
NC022,Accounting and Finance,National College of Ireland (NCI),Business and administration,330
NC023,Technology Management (with specialisations),National College of Ireland (NCI),Information and Communication Technologies (ICTs),266
NC030,Early Childhood Education and Care,National College of Ireland (NCI),Education,251
RC001,Medicine - Undergraduate Entry (HPAT required),RCSI University of Medicine & Health Sciences,Health,741
RC004,Physiotherapy,RCSI University of Medicine & Health Sciences,Health,589
RC005,Pharmacy,RCSI University of Medicine & Health Sciences,Health,613
NM801,Montessori Education,St Nicholas Montessori College Ireland,Education,262
NM802,Psychology,St Nicholas Montessori College Ireland,Social and behavioural sciences,228
TU801,Sustainable Energy Engineering,Technological University Dublin,Environment,235
TU802,Electrical Services and Energy Management,Technological University Dublin,Engineering and engineering trades,309
TU804,Engineering (Common Entry with Award options),Technological University Dublin,Engineering and engineering trades,270
TU805,Engineering (General Entry),Technological University Dublin,Engineering and engineering trades,466
TU807,Computer Engineering in Mobile Systems,Technological University Dublin,Engineering and engineering trades,274
TU810,Mechatronic Engineering,Technological University Dublin,Engineering and engineering trades,271
TU811,Product Design,Technological University Dublin,Arts,440
TU812,"Design,Technology and Innovation",Technological University Dublin,Manufacturing and processing,278
TU814,Sustainable Transport Management,Technological University Dublin,Transport services,253
TU828,Mechanical Engineering (General Entry),Technological University Dublin,Engineering and engineering trades,300
TU829,Electronic Engineering (General Entry),Technological University Dublin,Engineering and engineering trades,248
TU831,Architectural Technology,Technological University Dublin,Architecture and construction,423
TU832,Architecture (Suitability Test and Interview),Technological University Dublin,Architecture and construction,644
TU833,Construction Management,Technological University Dublin,Architecture and construction,396
TU834,Geographic Science,Technological University Dublin,Architecture and construction,315
TU835,Planning and Environmental Management,Technological University Dublin,Architecture and construction,330
TU836,Property Economics (Valuation Surveying),Technological University Dublin,Architecture and construction,411
TU837,Quantity Surveying and Construction Economics,Technological University Dublin,Architecture and construction,413
TU838,Sustainable Timber Technology,Technological University Dublin,Environment,307
TU851,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",Technological University Dublin,Environment,400
TU852,Chemical Sciences with Medicinal Chemistry,Technological University Dublin,Physical sciences,477
TU854,Science (General Entry),Technological University Dublin,Biological and related sciences,510
TU855,Science with Nanotechnology,Technological University Dublin,Physical sciences,322
TU856,Computer Science,Technological University Dublin,Information and Communication Technologies (ICTs),499
TU857,Computer Science (Infrastructure),Technological University Dublin,Information and Communication Technologies (ICTs),403
TU858,Computer Science (International),Technological University Dublin,Information and Communication Technologies (ICTs),395
TU859,Computing,Technological University Dublin,Information and Communication Technologies (ICTs),251
TU860,Computing (Information Technology),Technological University Dublin,Information and Communication Technologies (ICTs),270
TU861,Computing with Language (French/German/Spanish),Technological University Dublin,Information and Communication Technologies (ICTs),235
TU862,Computing with Artificial Intelligence Machine Learning,Technological University Dublin,Information and Communication Technologies (ICTs),262
TU863,Digital Forensics and Cyber Security,Technological University Dublin,Information and Communication Technologies (ICTs),282
TU864,DNA and Forensic Analysis,Technological University Dublin,Biological and related sciences,500
TU865,Cloud Computing,Technological University Dublin,Information and Communication Technologies (ICTs),235
TU866,Biomedical and Molecular Diagnostics,Technological University Dublin,Health,522
TU867,Biomedical Science,Technological University Dublin,Health,576
TU868,Clinical Measurement Science,Technological University Dublin,Health,542
TU869,Environmental Health,Technological University Dublin,Hygiene and occupational health services,387
TU870,Human Nutrition and Dietetics,Technological University Dublin,Health,601
TU871,Optometry,Technological University Dublin,Health,532
TU872,Public Health Nutrition,Technological University Dublin,Biological and related sciences,487
TU874,Mathematical Sciences,Technological University Dublin,Mathematics and statistics,294
TU875,Pharmaceutical Healthcare,Technological University Dublin,Biological and related sciences,451
TU876,Pharmaceutical Science,Technological University Dublin,Biological and related sciences,445
TU877,Physics Technology,Technological University Dublin,Physical sciences,314
TU878,Physics with Energy and Environment,Technological University Dublin,Physical sciences,339
TU879,Physics with Medical Physics and Bioengineering,Technological University Dublin,Health,346
TU880,Physics with Data Science,Technological University Dublin,Physical sciences,412
TU881,Food Innovation,Technological University Dublin,Manufacturing and processing,309
TU882,Nutraceuticals in Health and Nutrition,Technological University Dublin,Biological and related sciences,380
TU902,Business (options),Technological University Dublin,Business and administration,270
TU903,Business and Management,Technological University Dublin,Business and administration,477
TU904,Business and Law,Technological University Dublin,Business and administration,462
