Course Code,Course Title,HEI Code,HEI,R1 Points,Year,ISCED
DC133,Multimedia,DC,Dublin City University,435,2021,Arts
DC155,Applied Language and Translation Studies,DC,Dublin City University,427,2021,Languages
DC161,Analytical Science,DC,Dublin City University,498,2021,Physical sciences
DC162,Chemical and Pharmaceutical Sciences,DC,Dublin City University,531,2021,Physical sciences
DC163,Chemical Sciences General Entry (Undenominated Entry),DC,Dublin City University,466,2021,Physical sciences
DC166,Environmental Science and Technology,DC,Dublin City University,423,2021,Environment
DC168,Genetics and Cell Biology,DC,Dublin City University,543,2021,Biological and related sciences
DC175,Physics General Entry (options),DC,Dublin City University,400,2021,Physical sciences
DC180,Biological Sciences General Entry (Undenominated Entry),DC,Dublin City University,530,2021,Biological and related sciences
DC181,Biotechnology,DC,Dublin City University,530,2021,Biological and related sciences
DC190,Electronic and Computer Engineering (with choice of four majors),DC,Dublin City University,488,2021,Engineering and engineering trades
DC193,Mechatronic Engineering,DC,Dublin City University,490,2021,Engineering and engineering trades
DC194,Sustainable Systems and Energy,DC,Dublin City University,476,2021,Environment
DC195,Mechanical and Manufacturing Engineering,DC,Dublin City University,500,2021,Engineering and engineering trades
DC197,Biomedical Engineering,DC,Dublin City University,510,2021,Health
DC200,Common Entry into Engineering (Undenominated Entry),DC,Dublin City University,511,2021,Engineering and engineering trades
DC202,Sport Science and Health,DC,Dublin City University,511,2021,Health
DC203,Science Education,DC,Dublin City University,462,2021,Education
DC204,Athletic Therapy and Training,DC,Dublin City University,558,2021,Health
DC205,Physical Education with Biology,DC,Dublin City University,565,2021,Education
DC206,Physical Education with Mathematics,DC,Dublin City University,521,2021,Education
DC207,Psychology and Mathematics,DC,Dublin City University,521,2021,Social and behavioural sciences
DC208,Psychology,DC,Dublin City University,565,2021,Social and behavioural sciences
DC209,Health and Society,DC,Dublin City University,477,2021,Health
DC210,Psychology and Disruptive Technologies,DC,Dublin City University,506,2021,Social and behavioural sciences
DC215,General Nursing,DC,Dublin City University,456,2021,Health
DC216,Mental Health Nursing,DC,Dublin City University,420,2021,Health
DC217,Intellectual Disability Nursing,DC,Dublin City University,382,2021,Health
DC218,Children`s and General Nursing (Integrated),DC,Dublin City University,521,2021,Health
DC230,"Economics, Politics and Law",DC,Dublin City University,431,2021,Social and behavioural sciences
DC231,International Relations,DC,Dublin City University,398,2021,Social and behavioural sciences
DC232,Law and Society (BCL),DC,Dublin City University,469,2021,Law
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC,Dublin City University,302,2021,Education
DC238,Social Sciences and Cultural Innovation,DC,Dublin City University,387,2021,Humanities (except languages)
DC240,"Marketing, Innovation and Technology",DC,Dublin City University,499,2021,Business and administration
DC241,Digital Business and Innovation,DC,Dublin City University,509,2021,Business and administration
