CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
Health,Health Sciences (options),WD005,271,,,,271,,368,8,Waterford Institute of Technology,,,
Personal services,Exercise Sciences (options),WD006,270,,,,270,,357,8,Waterford Institute of Technology,,,
Engineering and engineering trades,Engineering (options),WD007,270,,270,,270,,432,8,Waterford Institute of Technology,,avp,
Engineering and engineering trades,Electronic Engineering,WD010,419,,,,419,,531,6,Waterford Institute of Technology,,,
Engineering and engineering trades,Mechanical Engineering,WD011,170,,,,170,,338,6,Waterford Institute of Technology,,,
Law,Legal Studies,WD013,AQA,,206,,AQA,,376,6,Waterford Institute of Technology,,avp,v
Welfare,Applied Social Care,WD018,181,,,,181,,326,7,Waterford Institute of Technology,,,
Personal services,Recreation and Sport Management,WD019,AQA,,AQA,,AQA,,304,7,Waterford Institute of Technology,,avp,
Architecture and construction,Construction Management and Engineering,WD025,262,,,,262,,357,8,Waterford Institute of Technology,,,
Arts,Music,WD027,321,,,,321,,437,8,Waterford Institute of Technology,#,,
Business and administration,Business (options),WD048,279,,,,279,,387,8,Waterford Institute of Technology,,,
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Forestry,WD076,216,,,,216,,370,7,Waterford Institute of Technology,,,
Business and administration,Accounting,WD084,308,,,,308,,476,8,Waterford Institute of Technology,,,
Personal services,Hospitality Management,WD091,225,,,,225,,337,8,Waterford Institute of Technology,,,
Architecture and construction,Architectural Technology,WD094,176,,,,176,,391,7,Waterford Institute of Technology,,,
Agriculture,Horticulture (Waterford - Kildalton),WD096,226,,,,226,,371,7,Waterford Institute of Technology,,,
Agriculture,Horticulture (Dublin - National Botanic Gardens),WD097,223,,,,223,,434,7,Waterford Institute of Technology,,,
Health,General Nursing,WD116,446,,,,446,,473,8,Waterford Institute of Technology,,,
Health,Psychiatric Nursing,WD117,415,,,,415,,430,8,Waterford Institute of Technology,,,
Health,Intellectual Disability Nursing,WD120,390,,,,390,,404,8,Waterford Institute of Technology,,,
Agriculture,Agriculture,WD126,328,,,,328,,441,7,Waterford Institute of Technology,,,
Business and administration,International Business,WD134,267,,,,267,,368,8,Waterford Institute of Technology,,,
Arts,Design (Visual Communications),WD137,252,,,,252,,360,8,Waterford Institute of Technology,,,
Law,Laws,WD140,280,,,,280,,394,8,Waterford Institute of Technology,,,
Architecture and construction,Architecture,WD144,309,,,,309,,401,8,Waterford Institute of Technology,,,
Physical sciences,Pharmaceutical Science,WD147,288,,,,288,,402,8,Waterford Institute of Technology,,,
Law,Criminal Justice Studies,WD150,280,,,,280,,359,8,Waterford Institute of Technology,,,
Information and Communication Technologies (ICTs),Software Systems Development,WD151,165,,,,165,,373,7,Waterford Institute of Technology,,,
Arts,Visual Art,WD152,243,,,,243,,359,8,Waterford Institute of Technology,,,
Information and Communication Technologies (ICTs),Multimedia Applications Development,WD153,195,,,,195,,356,7,Waterford Institute of Technology,,,
Information and Communication Technologies (ICTs),Information Technology,WD155,195,,,,195,,379,7,Waterford Institute of Technology,,,
Business and administration,Business,WD159,191,,,,191,,409,7,Waterford Institute of Technology,,,
Information and Communication Technologies (ICTs),Computer Forensics and Security,WD161,270,,,,270,,347,8,Waterford Institute of Technology,,,
Architecture and construction,Quantity Surveying,WD162,226,,,,226,,337,8,Waterford Institute of Technology,,,
Social and behavioural sciences,Psychology,WD163,456,,,,456,,487,8,Waterford Institute of Technology,,,
Biological and related sciences,Food Science with Business,WD164,328,,,,328,,453,7,Waterford Institute of Technology,,,
Personal services,Culinary Arts,WD172,AQA,,AQA,,AQA,,329,6,Waterford Institute of Technology,,avp,
Personal services,Hospitality Studies,WD173,158,,,,158,,320,6,Waterford Institute of Technology,,,
Personal services,Tourism,WD174,AQA,,,,AQA,,320,6,Waterford Institute of Technology,,,
Physical sciences,Pharmaceutical Science,WD175,224,,,,224,,409,7,Waterford Institute of Technology,,,
Biological and related sciences,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",WD177,205,,455,,205,,453,7,Waterford Institute of Technology,,avp,v
Engineering and engineering trades,Electrical Engineering,WD182,AQA,,,,AQA,,363,7,Waterford Institute of Technology,,,
Business and administration,Retail Management,WD184,190,,,,190,,337,7,Waterford Institute of Technology,,,
Personal services,Sports Coaching and Performance,WD186,261,,,,261,,358,8,Waterford Institute of Technology,,,
Welfare,Social Science,WD187,276,,,,276,,367,8,Waterford Institute of Technology,,,
Health,Applied Health Care,WD188,220,,,,220,,402,7,Waterford Institute of Technology,,,
Agriculture,Agricultural Science,WD191,377,,,,377,,434,8,Waterford Institute of Technology,,,
Welfare,Social Care Practice,WD192,271,,,,271,,336,8,Waterford Institute of Technology,,,
Business and administration,Marketing and Digital Media,WD193,279,,,,279,,358,8,Waterford Institute of Technology,,,
Personal services,Culinary Arts,WD194,237,,,,237,,321,8,Waterford Institute of Technology,,,
Architecture and construction,Architectural and Building Information Modelling Technology,WD195,279,,,,279,,367,8,Waterford Institute of Technology,,,
Arts,Arts (options),WD200,201,,201,,201,,376,8,Waterford Institute of Technology,,avp,
Biological and related sciences,Molecular Biology with Biopharmaceutical Science,WD205,AQA,,262,,AQA,,434,7,Waterford Institute of Technology,,avp,
Engineering and engineering trades,Electronic Engineering,WD206,180,,,,180,,367,7,Waterford Institute of Technology,,,
Engineering and engineering trades,Mechanical Engineering,WD207,172,,,,172,,356,7,Waterford Institute of Technology,,,
Engineering and engineering trades,Manufacturing Engineering,WD208,317,,,,317,,368,7,Waterford Institute of Technology,,,
Information and Communication Technologies (ICTs),Software Systems Development,WD210,260,,,,260,,373,8,Waterford Institute of Technology,,,
Information and Communication Technologies (ICTs),Creative Computing,WD211,270,,,,270,,392,8,Waterford Institute of Technology,,,
Personal services,Recreation and Sport Management,WD212,262,,,,262,,304,8,Waterford Institute of Technology,,,
Engineering and engineering trades,Mechanical and Manufacturing Engineering,WD230,230,,230,,230,,361,8,Waterford Institute of Technology,,avp,
Welfare,Early Childhood Care and Education,WD231,266,,,,266,,366,8,Waterford Institute of Technology,,,
Business and administration,Business Information Systems,WD232,261,,261,,261,,329,8,Waterford Institute of Technology,,avp,
