CATEGORY,COURSE CODE2,COURSE TITLE,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
Agriculture,CW027,Sustainable Farm Management and Agribusiness,266,,,,268,,360,7,"Institute of Technology, Carlow",,,
Welfare,CW028,Early Childhood Education and Care,252,,,,252,,301,8,"Institute of Technology, Carlow",,,
Business and administration,CW037,Business (options),195,,,,195,,400,7,"Institute of Technology, Carlow",#,,
Arts,CW038,Art (portfolio),700,,,,700,,700,8,"Institute of Technology, Carlow",#,,
Arts,CW047,Visual Communications and Design,214,,181,,181,,336,7,"Institute of Technology, Carlow",,,
Arts,CW057,Art (portfolio),700,,,,700,,700,7,"Institute of Technology, Carlow",#,,
Personal services,CW058,Tourism and Event Management,298,,,,298,,348,8,"Institute of Technology, Carlow",,,
Welfare,CW068,Applied Social Studies in Professional Social Care,245,,,,245,,292,8,"Institute of Technology, Carlow",,,
Personal services,CW077,Tourism and Event Management,217,,,,217,,311,7,"Institute of Technology, Carlow",,,
Agriculture,CW078,Sustainable Farm Management and Agribusiness,269,,,,269,,327,8,"Institute of Technology, Carlow",,,
Arts,CW088,Visual Communications and Design,274,,,,274,,340,8,"Institute of Technology, Carlow",,,
Health,CW106,Physiology and Health Science,451,,,,451,,509,6,"Institute of Technology, Carlow",,,
Environment,CW107,Analytical Science,277,,,,277,,445,7,"Institute of Technology, Carlow",,,
Biological and related sciences,CW108,Science (options),261,,,,261,,346,8,"Institute of Technology, Carlow",,,
Health,CW116,Pharmacy Technician Studies,250,,,,250,,388,6,"Institute of Technology, Carlow",,,
Environment,CW117,Biosciences,205,,,,205,,380,7,"Institute of Technology, Carlow",,,
Biological and related sciences,CW126,Science - Applied Biology or Applied Chemistry,191,,,,191,,424,6,"Institute of Technology, Carlow",,,
Biological and related sciences,CW128,Brewing and Distilling,263,,,,263,,318,8,"Institute of Technology, Carlow",,,
Personal services,CW138,Sport and Exercise Science,423,,,,423,,444,8,"Institute of Technology, Carlow",,,
Personal services,CW148,Strength and Conditioning,379,,,,379,,400,8,"Institute of Technology, Carlow",,,
Health,CW188,Sport Rehabilitation and Athletic Therapy,451,,448,,448,,466,8,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),CW206,Computing - Applications or Programming,235,,,,235,,369,6,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),CW207,Software Development,244,,,,244,,329,7,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),CW208,Computer Games Development,279,,,,279,,327,8,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),CW217,Information Technology Management,234,,,,234,,377,7,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),CW227,Cybercrime and IT Security,233,,,,242,,357,7,"Institute of Technology, Carlow",,,
