Course Code,Institution,INSTITUTION,EOS,Mid
BN123,Technological University Dublin Blanchardstown Campus,"Design,Technology and Innovation",297,318
TA022,Technological University Dublin Tallaght Campus,Creative Digital Media,260,318
TA023,Technological University Dublin Tallaght Campus,Advertising and Marketing Communications,235,299
TA024,Technological University Dublin Tallaght Campus,Early Childhood Care and Education,217,307
TA025,Technological University Dublin Tallaght Campus,Social Care Practice,261,297
TA026,Technological University Dublin Tallaght Campus,International Hospitality and Tourism Management,208,269
TA027,Technological University Dublin Tallaght Campus,Botanical Cuisine,236,273
TA028,Technological University Dublin Tallaght Campus,Digital Marketing Technologies,220,313
TA121,Technological University Dublin Tallaght Campus,Accounting and Finance,202,328
TA122,Technological University Dublin Tallaght Campus,Management,218,297
TA123,Technological University Dublin Tallaght Campus,Marketing Management,207,284
TA125,Technological University Dublin Tallaght Campus,International Business,229,300
TA221,Technological University Dublin Tallaght Campus,Electronic Engineering,251,321
TA222,Technological University Dublin Tallaght Campus,Mechanical Engineering,243,302
TA223,Technological University Dublin Tallaght Campus,Sustainable Energy Engineering,236,305
TA224,Technological University Dublin Tallaght Campus,Biomedical Design,218,324
TA225,Technological University Dublin Tallaght Campus,Automation Engineering,235,288
TA226,Technological University Dublin Tallaght Campus,Engineering Software,243,304
TA321,Technological University Dublin Tallaght Campus,Pharmaceutical Science,261,298
TA322,Technological University Dublin Tallaght Campus,Computing,200,294
TA323,Technological University Dublin Tallaght Campus,Computing with IT Management,243,309
TA326,Technological University Dublin Tallaght Campus,DNA and Forensic Analysis,300,362
TA327,Technological University Dublin Tallaght Campus,Sports Science and Health,341,381
TA328,Technological University Dublin Tallaght Campus,Computing with Language (French/German/Spanish),218,317
TA329,Technological University Dublin Tallaght Campus,Computing with Data Analytics,218,296
AD101,National College of Art and Design,First Year Art & Design (Common Entry),# +mat,550
AD102,National College of Art and Design,Graphic Design and Moving Image Design,# +mat,635
AD103,National College of Art and Design,Textile & Surface Design and Jewellery & Objects,# +mat,545
AD202,National College of Art and Design,Education & Design or Fine Art (Second Level Teaching),# +mat,580
AD204,National College of Art and Design,Fine Art,# +mat,600
AD211,National College of Art and Design,Fashion Design,# +mat,600
AD212,National College of Art and Design,Product Design,# +mat,600
AD215,National College of Art and Design,Visual Culture,300,338
AD217,National College of Art and Design,Illustration,# +mat,625
AD222,National College of Art and Design,Interaction Design,# +mat,657
NC003,National College of Ireland (NCI),Computing (Degree Award options),261,316
NC005,National College of Ireland (NCI),Human Resource Management,297,320
NC009,National College of Ireland (NCI),Business,297,339
NC010,National College of Ireland (NCI),Psychology,366,399
NC020,National College of Ireland (NCI),Marketing Practice,270,307
NC022,National College of Ireland (NCI),Accounting and Finance,338,376
NC023,National College of Ireland (NCI),Technology Management (with specialisations),260,303
NC025,National College of Ireland (NCI),Data Science,297,371
RC001,Royal College of Surgeons in Ireland,Medicine - Undergraduate Entry (HPAT required),#729,733
RC004,Royal College of Surgeons in Ireland,Physiotherapy,532*,542
RC005,Royal College of Surgeons in Ireland,Pharmacy,555,566
RC101,Royal College of Surgeons in Ireland,Medicine - Graduate Entry (GAMSAT required),#60,62
TR002,Trinity College Dublin,Music,#414,473
TR003,Trinity College Dublin,History,486,518
TR004,Trinity College Dublin,Law,532,552
TR005,Trinity College Dublin,Philosophy,391,446
TR006,Trinity College Dublin,Psychology,555*,577
TR007,Trinity College Dublin,Clinical Speech and Language Studies,499,529
TR009,Trinity College Dublin,Music Education,#430,465
